Team,Year,Off_Eff_FGperc,Off_ORRate,Off_TORate,Off_FTRate,Def_Eff_FGperc,Def_ORRate,Def_TORate,Def_FTRate,wins_82
Dallas Mavericks,1998-1999,0.459,0.298,0.145,0.218,0.476,0.309,0.148,0.212,31.16
Cleveland Cavaliers,1998-1999,0.464,0.252,0.17,0.285,0.468,0.31,0.182,0.267,36.08
Chicago Bulls,1998-1999,0.424,0.268,0.164,0.219,0.483,0.283,0.17,0.241,21.32
Boston Celtics,1998-1999,0.469,0.306,0.167,0.179,0.465,0.306,0.17,0.287,31.16
Atlanta Hawks,1998-1999,0.436,0.33,0.163,0.277,0.437,0.279,0.145,0.203,50.839999999999996
Sacramento Kings,1998-1999,0.479,0.306,0.169,0.205,0.471,0.323,0.155,0.176,44.28
San Antonio Spurs,1998-1999,0.479,0.304,0.161,0.259,0.423,0.305,0.155,0.198,60.68
Toronto Raptors,1998-1999,0.45,0.338,0.17,0.257,0.473,0.298,0.163,0.258,37.72
Utah Jazz,1998-1999,0.485,0.3,0.177,0.32,0.441,0.296,0.162,0.242,60.68
Washington Wizards,1998-1999,0.468,0.282,0.157,0.213,0.474,0.305,0.166,0.273,29.52
Atlanta Hawks,1999-2000,0.46,0.317,0.16,0.217,0.481,0.29,0.125,0.196,28.000000000000004
Boston Celtics,1999-2000,0.474,0.304,0.156,0.236,0.498,0.262,0.173,0.306,35.0
Chicago Bulls,1999-2000,0.443,0.299,0.194,0.24,0.484,0.301,0.162,0.24,17.0
Cleveland Cavaliers,1999-2000,0.468,0.281,0.174,0.246,0.474,0.288,0.168,0.275,32.0
Dallas Mavericks,1999-2000,0.49,0.255,0.138,0.2,0.488,0.339,0.163,0.21,40.0
Denver Nuggets,1999-2000,0.476,0.292,0.157,0.222,0.479,0.284,0.145,0.235,35.0
Detroit Pistons,1999-2000,0.492,0.268,0.157,0.295,0.499,0.284,0.169,0.249,42.0
Golden State Warriors,1999-2000,0.444,0.326,0.159,0.21,0.499,0.309,0.163,0.259,19.0
Houston Rockets,1999-2000,0.494,0.291,0.174,0.236,0.481,0.284,0.141,0.201,34.0
Indiana Pacers,1999-2000,0.503,0.249,0.145,0.245,0.469,0.285,0.142,0.197,56.00000000000001
Los Angeles Clippers,1999-2000,0.458,0.261,0.163,0.202,0.507,0.304,0.147,0.22,15.0
Los Angeles Lakers,1999-2000,0.484,0.306,0.143,0.241,0.443,0.269,0.149,0.223,67.0
Vancouver Grizzlies,1999-2000,0.474,0.301,0.173,0.248,0.502,0.295,0.156,0.231,22.0
Miami Heat,1999-2000,0.495,0.282,0.159,0.208,0.453,0.271,0.144,0.229,52.0
Milwaukee Bucks,1999-2000,0.494,0.3,0.154,0.228,0.496,0.304,0.161,0.254,42.0
Minnesota Timberwolves,1999-2000,0.485,0.294,0.145,0.2,0.474,0.27,0.154,0.25,50.0
New Jersey Nets,1999-2000,0.468,0.281,0.136,0.233,0.491,0.328,0.172,0.223,31.0
Charlotte Hornets,1999-2000,0.475,0.257,0.149,0.285,0.478,0.268,0.16,0.198,49.0
New York Knicks,1999-2000,0.482,0.247,0.157,0.221,0.455,0.269,0.151,0.252,50.0
Seattle SuperSonics,1999-2000,0.487,0.285,0.145,0.196,0.483,0.304,0.157,0.194,45.0
Orlando Magic,1999-2000,0.473,0.317,0.176,0.224,0.476,0.301,0.177,0.227,41.0
Philadelphia 76ers,1999-2000,0.457,0.314,0.162,0.233,0.466,0.301,0.179,0.229,49.0
Phoenix Suns,1999-2000,0.491,0.293,0.171,0.217,0.454,0.295,0.175,0.245,53.0
Portland Trailblazers,1999-2000,0.501,0.303,0.162,0.24,0.461,0.276,0.153,0.217,59.0
Sacramento Kings,1999-2000,0.486,0.277,0.158,0.209,0.479,0.303,0.17,0.198,44.0
San Antonio Spurs,1999-2000,0.488,0.278,0.157,0.258,0.451,0.27,0.149,0.188,53.0
Toronto Raptors,1999-2000,0.464,0.301,0.142,0.23,0.48,0.282,0.158,0.247,45.0
Utah Jazz,1999-2000,0.49,0.295,0.157,0.26,0.477,0.268,0.167,0.256,55.0
Washington Wizards,1999-2000,0.476,0.306,0.165,0.234,0.489,0.283,0.154,0.273,29.0
Atlanta Hawks,2000-2001,0.456,0.289,0.17,0.206,0.472,0.292,0.153,0.249,25.0
Boston Celtics,2000-2001,0.473,0.253,0.162,0.25,0.493,0.273,0.173,0.256,36.0
Chicago Bulls,2000-2001,0.45,0.266,0.162,0.22,0.499,0.298,0.159,0.254,15.0
Cleveland Cavaliers,2000-2001,0.459,0.297,0.172,0.239,0.477,0.289,0.156,0.248,30.0
Dallas Mavericks,2000-2001,0.498,0.241,0.142,0.231,0.467,0.294,0.157,0.244,53.0
Denver Nuggets,2000-2001,0.47,0.283,0.143,0.211,0.476,0.282,0.136,0.223,40.0
Detroit Pistons,2000-2001,0.453,0.293,0.161,0.234,0.466,0.278,0.155,0.233,32.0
Golden State Warriors,2000-2001,0.429,0.333,0.16,0.199,0.504,0.303,0.167,0.227,17.0
